Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;einv_constr;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)];[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)];[ktonCO2_eq/GW],[ktonCO2_eq/GWh],[ktonCO2_eq/(Mkmpass/h)],[ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];[GWh/y];
Electricity;Electricity;Combined cycle gas turbine;CCGT;772;19.6;157;25;0.962;0;1;0;1.00E+15;615;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;772;19.6;157;25;0.962;0;1;0;1.00E+15;615;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3250;48.4;280;35;0.856;0;1;0;0;914;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2520;29.4;280;35;0.868;0;1;0;0;914;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;7490;139;23300;30;0.95;0;1;0;0;89500;
Electricity;Electricity;Hydro river;HYDRO_RIVER;5040;50.4;2810;40;1;0;1;0;0.115;8260;
Electricity;Electricity;Nuclear;NUCLEAR;4850;103;680;60;0.849;0;1;0;0;2610;
Electricity;Electricity;Photovoltaic;PV;870;9.94;1110;25;1;0;1;0;59.2;4470;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4970;34.6;764;30;1;0;1;0;6;2740;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1040;12.1;557;30;1;0;1;0;10;2870;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;7240;135;211;20;1;0;1;0;1.00E+15;4410;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;7240;135;211;20;1;0;1;0;1.00E+15;4410;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;159;4.76;45.6;17;1;0;1;0;1.00E+15;162;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;142;8.54;45.6;17;1;0;1;0;1.00E+15;147;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;462;16.2;68.5;17;1;0;1;0;1.00E+15;237;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1410;90.5;343;20;1;0;1;0;1.00E+15;1400;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1310;80.1;343;20;1;0;1;0;1.00E+15;1400;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;40;0.175;1.61;15;1;0;1;0;1.00E+15;5.59;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;492;20.5;145;18;1;0;1;0;1.00E+15;212;
Heat;Heat low temperature decentralised;Solar thermal (decentralised);DEC_SOLAR;719;7.98;519;20;1;0;1;0;1.00E+15;1950;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised);DEC_THHP_GAS;316;9.23;357;20;1;0;1;0;1.00E+15;1300;
Heat;Heat low temperature centralised;Boiler gas (DHN);DHN_BOILER_GAS;58.9;1.18;12.9;17;0.95;0;1;0;1.00E+15;45.6;
Heat;Heat low temperature centralised;Boiler oil (DHN);DHN_BOILER_OIL;54.9;1.18;12.9;17;0.95;0;1;0;1.00E+15;45.6;
Heat;Heat low temperature centralised;Boiler wood (DHN);DHN_BOILER_WOOD;115;2.3;78.9;17;0.9;0;1;0;1.00E+15;277;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN);DHN_COGEN_BIO_HYDROLYSIS;4540;222;578;15;0.85;0;1;0;1.00E+15;1820;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;1250;36.7;157;25;0.85;0;1;0;1.00E+15;615;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;2930;108;578;25;0.85;0;1;0;1.00E+15;1820;
