{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar
1;9.12E-05;0.00013127;5.87E-06;0.000114155;0;0.15775806;0.714385004;0.368087837;0
2;7.14E-05;0.000122962;2.35E-06;0.000114155;0;0.182757837;0.691529767;0.367839696;0
3;5.28E-05;0.000127947;1.17E-06;0.000114155;0;0.192561759;0.729854676;0.367610643;0
4;3.76E-05;0.000129608;1.41E-05;0.000114155;0;0.211292104;0.747714827;0.367362503;0
5;3.10E-05;0.00013127;3.76E-05;0.000114155;0;0.290587612;0.578892867;0.367123906;0
6;3.01E-05;0.000132931;9.40E-05;0.000114155;0;0.282846033;0.581104325;0.366875766;0
7;3.15E-05;0.000134593;0.0001821;0.000114155;0;0.241476691;0.768362117;0.366627625;0
8;2.30E-05;0.000136255;0.000158603;0.000114155;0;0.288589857;0.863303847;0.366379485;0
9;2.38E-05;0.000136255;0.000146855;0.000114155;1.29E-05;0.409847128;0.884049424;0.366131344;0
10;2.89E-05;0.000132931;0.000164478;0.000114155;0.031775999;0.446926976;0.905346111;0.365883204;0
11;4.27E-05;0.000129608;0.000187974;0.000114155;0.128566676;0.426951653;0.926618225;0.365654151;0
12;5.69E-05;0.000124623;0.000206772;0.000114155;0.253755299;0.385562267;0.893509548;0.36540601;0
13;6.55E-05;0.0001213;0.000187974;0.000114155;0.321705626;0.369658177;0.853025835;0.365167414;0
14;6.62E-05;0.0001213;0.000190324;0.000114155;0.291044213;0.437152008;0.855676074;0.364919273;0
15;6.11E-05;0.0001213;0.000213821;0.000114155;0.184217115;0.457973648;0.82204437;0.364671133;0
16;5.98E-05;0.000122962;0.00022322;0.000114155;0.088006022;0.453537162;0.814725498;0.364422992;0
17;6.44E-05;0.000127947;0.00022322;0.000114155;0.014028355;0.508665847;0.87808551;0.364174852;0
18;8.79E-05;0.000132931;0.000164478;0.000114155;0;0.620885337;0.925807357;0.363926711;0
19;9.59E-05;0.000139578;0.000117484;0.000114155;0;0.713944642;0.929387812;0.363678571;0
20;9.32E-05;0.000137916;8.81E-05;0.000114155;0;0.775886184;0.929387812;0.363459062;0
21;8.52E-05;0.000144563;5.87E-05;0.000114155;0;0.782732448;0.929387812;0.363210921;0
22;7.64E-05;0.000146225;3.76E-05;0.000114155;0;0.826034957;0.935478096;0.362962781;0
23;9.24E-05;0.000147886;2.35E-05;0.000114155;0;0.853266341;0.935123561;0.36271464;0
24;9.26E-05;0.00015121;9.40E-06;0.000114155;0;0.866159322;0.929387812;0.3624665;0
25;6.64E-05;0.000159518;5.87E-06;0.000114155;0;0.862749552;0.929387812;0.362218359;0
26;4.77E-05;0.000167826;2.35E-06;0.000114155;0;0.878083491;0.919359028;0.361970218;0
27;3.25E-05;0.000176134;1.17E-06;0.000114155;0;0.888571149;0.905633951;0.361722078;0
28;2.38E-05;0.000179457;1.41E-05;0.000114155;0;0.882831779;0.886910278;0.361502569;0
29;2.57E-05;0.000184442;3.76E-05;0.000114155;0;0.862751779;0.919738135;0.361254428;0
30;4.10E-05;0.000189427;9.40E-05;0.000114155;0;0.823997114;0.921177338;0.361006288;0
31;7.12E-05;0.000192751;0.0001821;0.000114155;0;0.792491826;0.929682673;0.360758147;0
32;9.33E-05;0.000196074;0.000158603;0.000114155;0;0.754962094;0.927471216;0.360510007;0
33;0.000117755;0.000196074;0.000146855;0.000114155;0;0.734278536;0.827186886;0.360261866;0
34;0.00013528;0.000187766;0.000164478;0.000114155;0.002387787;0.660758033;0.708168352;0.360013726;0
35;0.000142275;0.000186104;0.000187974;0.000114155;0.024310843;0.544810291;0.540599551;0.359765585;0
36;0.000149154;0.000179457;0.000206772;0.000114155;0.057986783;0.455630685;0.887903679;0.359546076;0
37;0.000148693;0.000167826;0.000187974;0.000114155;0.112998477;0.422218956;0.913963774;0.359297936;0.064570558
38;0.000146579;0.000162841;0.000190324;0.000114155;0.190313902;0.470390019;0.921868857;0.359049795;0.078607916
39;0.000141083;0.000154533;0.000213821;0.000114155;0.199906203;0.431492815;0.928201348;0.358801655;0.495069724
40;0.000143581;0.000159518;0.00022322;0.000114155;0.11912613;0.405911751;0.933080595;0.358553514;0.219038368
41;0.000147847;0.000167826;0.00022322;0.000114155;0.019296062;0.407749151;0.933080595;0.358305374;0
42;0.000177709;0.000172811;0.000164478;0.000114155;0;0.406145602;0.931609801;0.358057233;0
43;0.00017963;0.000177796;0.000117484;0.000114155;0;0.417410535;0.92303075;0.357809093;0
44;0.000163335;0.000181119;8.81E-05;0.000114155;0;0.410989657;0.897297108;0.357589584;0
45;0.000142582;0.000186104;5.87E-05;0.000114155;0;0.380450954;0.897219882;0.357341443;0
46;0.000124673;0.000189427;3.76E-05;0.000114155;0;0.36295445;0.871317748;0.357093303;0
47;0.000136471;0.000194412;2.35E-05;0.000114155;0;0.303010664;0.819875035;0.356845162;0
48;0.00013405;0.000199397;9.40E-06;0.000114155;0;0.248376406;0.714065571;0.356597022;0
49;0.000105649;0.000201059;5.87E-06;0.000114155;0;0.234378758;0.646272115;0.35644432;0
50;7.91E-05;0.00020272;2.35E-06;0.000114155;0;0.170047483;0.539177899;0.35644432;0
51;6.78E-05;0.00020272;1.17E-06;0.000114155;0;0.179797953;0.391248947;0.356425232;0
52;5.78E-05;0.000204382;1.41E-05;0.000114155;0;0.233091465;0.471672283;0.356425232;0
53;5.90E-05;0.000204382;3.76E-05;0.000114155;0;0.324128516;0.523020219;0.356425232;0
54;7.25E-05;0.000204382;9.40E-05;0.000114155;0;0.419642141;0.655588318;0.356425232;0
55;0.000100499;0.000204382;0.0001821;0.000114155;0;0.439610783;0.671577506;0.356396601;0
56;0.000122175;0.000204382;0.000158603;0.000114155;0;0.328295516;0.574887672;0.356396601;0
57;0.000145349;0.000204382;0.000146855;0.000114155;1.71E-06;0.328529367;0.522714827;0.356396601;0
58;0.000154919;0.000172811;0.000164478;0.000114155;0.001401807;0.265741508;0.662952822;0.356396601;0.010492938
59;0.000156494;0.000139578;0.000187974;0.000114155;0.005600368;0.203597295;0.541203314;0.356367969;0.018575869
60;0.000158416;0.000117977;0.000206772;0.000114155;0.009955828;0.109103705;0.349315501;0.356367969;0.021325138
61;0.000157724;0.000114653;0.000187974;0.000114155;0.018857086;0.106947822;0.447788543;0.356367969;0.00556733
62;0.000153035;0.000116315;0.000190324;0.000114155;0.025908131;0.132188132;0.382701488;0.356367969;0.004505762
63;0.00014581;0.000119638;0.000213821;0.000114155;0.025198225;0.125110244;0.230560236;0.356348881;0.013462065
64;0.000144734;0.00013127;0.00022322;0.000114155;0.01001413;0.201056115;0.013609239;0.356348881;0.004489093
65;0.00015365;0.000144563;0.00022322;0.000114155;0.001226902;0.350823155;0.011780399;0.356348881;0
66;0.000181014;0.000149548;0.000164478;0.000114155;0;0.321981541;0.036285454;0.356348881;0
67;0.000180706;0.000156194;0.000117484;0.000114155;0;0.180539594;0.340332772;0.35632025;0
68;0.000166064;0.000161179;8.81E-05;0.000114155;0;0.228859877;0.361969952;0.35632025;0
69;0.00014581;0.000166164;5.87E-05;0.000114155;0;0.174065264;0.385825611;0.35632025;0
70;0.000126133;0.000172811;3.76E-05;0.000114155;0;0.076578382;0.405700646;0.35632025;0
71;0.000136779;0.000177796;2.35E-05;0.000114155;0;0.085883422;0.263188009;0.356301162;0
72;0.000136894;0.000182781;9.40E-06;0.000114155;0;0.090199642;0.319067678;0.356301162;0
