,First-order Sobol indices,Total-order Sobol indices
einv_op-GAS_RE,0.21980174875415276,0.21980174875415276
einv_constr-CAR_BEV,0.12989359639521325,0.12989359639521325
f_max-NUCLEAR,0.0988993244471017,0.0988993244471017
other-share_mobility_public_max,0.06875348942316667,0.06875348942316667
f_max-WIND_OFFSHORE,0.044591440645554876,0.044591440645554876
einv_constr-PV,0.04114891009427232,0.04114891009427232
einv_op-METHANOL,0.040507570744961606,0.040507570744961606
avail-WOOD,0.03532326205920783,0.03532326205920783
avail-WET_BIOMASS,0.031063816740009482,0.031063816740009482
c_pt-PV,0.02679498702899404,0.02679498702899404
INDUSTRY-NON_ENERGY,0.02636235865765329,0.02636235865765329
einv_constr-IND_COGEN_WOOD,0.01478320918666233,0.01478320918666233
f_max-WIND_ONSHORE,0.014219692159123798,0.014219692159123798
f_max-DHN_DEEP_GEO,0.011187954180307757,0.011187954180307757
einv_constr-BIO_HYDROLYSIS,0.010740101418515892,0.010740101418515892
einv_constr-DHN_COGEN_BIO_HYDROLYSIS,0.010363830062457544,0.010363830062457544
einv_constr-BOAT_FREIGHT_METHANOL,0.009685461554490377,0.009685461554490377
einv_constr-CAR_NG,0.007612771142771913,0.007612771142771913
einv_constr-BUS_COACH_DIESEL,0.007320174695552966,0.007320174695552966
INDUSTRY-HEAT_HIGH_T,0.0072866186087550315,0.0072866186087550315
TRANSPORTATION-MOBILITY_FREIGHT,0.006068591900518552,0.006068591900518552
einv_constr-DEC_BOILER_OIL,0.005677415290357813,0.005677415290357813
einv_op-ELECTRICITY,0.0054820314889013075,0.0054820314889013075
einv_constr-DHN_COGEN_WASTE,0.005160496405111405,0.005160496405111405
einv_constr-GAS_TO_HVC,0.004891941267299897,0.004891941267299897
c_pt-Wind_offshore,0.004779006158537599,0.004779006158537599
einv_constr-TRAIN_FREIGHT,0.004267509841560501,0.004267509841560501
avail-WASTE,0.00423791854331198,0.00423791854331198
einv_op-BIOETHANOL,0.004027478948663739,0.004027478948663739
einv_constr-DHN_BOILER_OIL,0.003955243675535125,0.003955243675535125
einv_constr-TRAMWAY_TROLLEY,0.0035410795419578093,0.0035410795419578093
einv_constr-BOAT_FREIGHT_DIESEL,0.0034992214229848098,0.0034992214229848098
einv_constr-BUS_COACH_HYDIESEL,0.003429374616926322,0.003429374616926322
einv_constr-DHN_COGEN_WOOD,0.003421391344736326,0.003421391344736326
einv_constr-CAR_GASOLINE,0.003119098347793851,0.003119098347793851
einv_op-DIESEL,0.0030963097075743886,0.0030963097075743886
einv_constr-TRUCK_ELEC,0.003063312122111653,0.003063312122111653
einv_constr-IND_COGEN_GAS,0.002642487670327248,0.002642487670327248
einv_op-WET_BIOMASS,0.0026422705616843596,0.0026422705616843596
einv_constr-DEC_ADVCOGEN_H2,0.0024984904435728034,0.0024984904435728034
einv_constr-METHANOL_TO_HVC,0.002461759599132408,0.002461759599132408
einv_constr-IND_BOILER_WOOD,0.002349795509424651,0.002349795509424651
einv_constr-IND_DIRECT_ELEC,0.0023276432883960214,0.0023276432883960214
einv_constr-CAR_HEV,0.002256233744557971,0.002256233744557971
einv_constr-GEOTHERMAL,0.0022465560346194213,0.0022465560346194213
HOUSEHOLDS-HEAT_LOW_T_HW,0.002133107654943991,0.002133107654943991
other-share_freight_boat_max,0.002107621008064783,0.002107621008064783
einv_constr-PYROLYSIS_TO_LFO,0.00198409172125841,0.00198409172125841
HOUSEHOLDS-ELECTRICITY,0.0019752699695674836,0.0019752699695674836
einv_constr-OIL_TO_HVC,0.0018875196268702482,0.0018875196268702482
einv_op-AMMONIA_RE,0.0018842282280591767,0.0018842282280591767
einv_constr-AMMONIA_TO_H2,0.0017754621715206937,0.0017754621715206937
einv_constr-DEC_DIRECT_ELEC,0.0016791781614427254,0.0016791781614427254
INDUSTRY-HEAT_LOW_T_SH,0.0016754875379889566,0.0016754875379889566
einv_constr-SMR,0.00167329959665767,0.00167329959665767
einv_op-LFO,0.0015173453266871702,0.0015173453266871702
einv_constr-BIOMETHANATION,0.0015076015808759063,0.0015076015808759063
other-import_capacity,0.0014837170432141192,0.0014837170432141192
INDUSTRY-ELECTRICITY,0.001399961622422011,0.001399961622422011
einv_op-GASOLINE,0.0013981034573730688,0.0013981034573730688
einv_constr-BUS_COACH_FC_HYBRIDH2,0.0012852118072721875,0.0012852118072721875
einv_op-BIODIESEL,0.0012472695919544397,0.0012472695919544397
einv_constr-DEC_ADVCOGEN_GAS,0.001217059851758157,0.001217059851758157
TRANSPORTATION-MOBILITY_PASSENGER,0.0011790371066458302,0.0011790371066458302
einv_constr-IND_BOILER_COAL,0.0011725745677287581,0.0011725745677287581
einv_constr-HABER_BOSCH,0.0011641313520903394,0.0011641313520903394
HOUSEHOLDS-LIGHTING,0.001080639453556078,0.001080639453556078
HOUSEHOLDS-HEAT_LOW_T_SH,0.0010765728406335138,0.0010765728406335138
INDUSTRY-LIGHTING,0.0009862218393130828,0.0009862218393130828
einv_constr-TRUCK_NG,0.0009662743917218131,0.0009662743917218131
c_pt-Solar,0.0007954401512619339,0.0007954401512619339
f_max-PV,0.0007718528659666989,0.0007718528659666989
einv_constr-TRUCK_DIESEL,0.0007054243464910825,0.0007054243464910825
einv_constr-DHN_SOLAR,0.0006865084988358502,0.0006865084988358502
einv_constr-CCGT,0.0006811241840924541,0.0006811241840924541
einv_constr-DEC_BOILER_GAS,0.0006724453367282232,0.0006724453367282232
einv_constr-BATT_LI,0.0005895277917903387,0.0005895277917903387
einv_constr-CAR_METHANOL,0.0005766222860313398,0.0005766222860313398
einv_constr-TRUCK_METHANOL,0.0005517973986315144,0.0005517973986315144
c_pt-Wind_onshore,0.0005511736224314712,0.0005511736224314712
einv_constr-DEC_BOILER_WOOD,0.0005416741736680486,0.0005416741736680486
einv_op-URANIUM,0.0005303996436315749,0.0005303996436315749
einv_op-WASTE,0.00045661955237053187,0.00045661955237053187
einv_constr-IND_BOILER_OIL,0.0004509993494987403,0.0004509993494987403
other-share_heat_dhn_max,0.0004256908002761075,0.0004256908002761075
einv_op-WOOD,0.00041682023399383357,0.00041682023399383357
einv_op-H2,0.0004060707102843638,0.0004060707102843638
einv_constr-METHANE_TO_METHANOL,0.0004000092243145362,0.0004000092243145362
