Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;crit_1_constr;crit_2_constr;crit_3_constr;lca_tech;lca_op;Comment
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;1080.79;39.57043986;133.0448798;25;0.85;0;1;0;1.00E+15;186.0548084;1.279800085;2418.016963;186.0548084;0.00E+00;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;1500;56.20117647;492.8044096;30;0.85;0;1;0;0;627.4946929;2.536732569;6974.005202;627.4946929;0.00E+00;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;344.76;11.69053473;40.47383054;25;0.95;0;1;0;1.00E+15;126.0967701;1.302772802;547.2524552;126.0967701;0.00E+00;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;362;0.426986111;1581.256317;30;1;0;1;0;1.00E+15;1893.636889;42.1295185;21956.02495;1893.636889;0.00E+00;
Storage;Other storage;Diesel storage;DIESEL_STORAGE;0.01;0.000397;0.017987115;20;1;0;1;0;1.00E+15;0.025577214;0.000471094;0.292940429;0.025577214;0.00E+00;
Infrastructure;Infrastructure;Efficiency mesures in energy system;EFFICIENCY;5600;0;0;1;1;0;1;0;1.00E+15;0;0;0;0;0.00E+00;
Storage;Other storage;Gas storage;GAS_STORAGE;0.05;0.001309164;26.80952941;50;1;0;1;0;1.00E+15;29.70296482;0.207440787;94.73328509;29.70296482;0.00E+00;
Synthetic fuels;Synthetic fuels;Gas to HVC;GAS_TO_HVC;797.6;19.93997837;704.8888435;25;1;0;1;0;1.00E+15;886.6430049;15.99195189;27045.89276;886.6430049;0.00E+00;
Synthetic fuels;Synthetic fuels;Wood gasification;GASIFICATION_SNG;2525;178;72.8368102;25;0.85;0;1;0;1.00E+15;93.33156033;0.804356263;10366.14668;93.33156033;0.00E+00;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE;0.01;0.000397;0.019973941;20;1;0;1;0;1.00E+15;0.028402716;0.000523136;0.325301407;0.028402716;0.00E+00;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;7488;139.1104;3680.211031;30;0.95;0;1;0;0;6955.222179;32.97290676;109950.1099;6955.222179;0.00E+00;
Infrastructure;Infrastructure;Electrical grid cost;GRID;74919.06;0;1119.022625;80;1;0;1;0;1.00E+15;1409.926255;106.742129;50443.92919;1409.926255;0.00E+00;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen;H2_BIOMASS;2525.39;177.9107679;72.8368102;25;0.86;0;1;0;1.00E+15;93.33156033;0.804356263;10366.14668;93.33156033;0.00E+00;
Synthetic fuels;Synthetic fuels;Electrolysers;H2_ELECTROLYSIS;696.2;19.14556962;994.0322818;15;0.9;0;1;0;1.00E+15;1184.351764;6.829275315;5299.47218;1184.351764;0.00E+00;
Storage;Other storage;Hydrogen storage;H2_STORAGE;6.19;0.39;10.53719907;20;1;0;1;0;1.00E+15;11.67443294;0.081532385;37.23390546;11.67443294;0.00E+00;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia);HABER_BOSCH;847;16.56;1763.458843;20;1;0;1;0;1.00E+15;2218.163136;40.00793776;67662.18418;2218.163136;0.00E+00;
Electricity;Electricity;Hydro river;HYDRO_RIVER;5044.92;50.4447982;836.9298537;40;1;0;1;0;0.115;1137.292877;5.820938787;9588.508285;1137.292877;0.00E+00;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;115.18;2.303586478;55.77089517;17;0.9;0;1;0;1.00E+15;89.3532061;0.795634404;2806.36253;89.3532061;0.00E+00;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;58.89;1.179885757;5.361990592;17;0.95;0;1;0;1.00E+15;8.369936797;0.041106842;46.01575683;8.369936797;0.00E+00;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;54.86;1.179885757;5.361990592;17;0.95;0;1;0;1.00E+15;8.369936797;0.041106842;46.01575683;8.369936797;0.00E+00;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;115.18;2.303586478;44.11716665;17;0.9;0;1;0;1.00E+15;66.73809039;0.527710066;1215.225898;66.73809039;0.00E+00;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;115.18;2.303586478;41.85689436;17;0.9;0;1;0;1.00E+15;63.31887134;0.500673687;1152.965747;63.31887134;0.00E+00;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1408.03;90.50685713;290.2914428;25;0.85;0;1;0;1.00E+15;356.8076927;3.035815405;2018.444894;356.8076927;0.00E+00;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;2927.87;107.936516;306.0261137;25;0.85;0;1;0;1.00E+15;393.5908541;1.573426389;3285.68924;393.5908541;0.00E+00;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1080.79;39.57043986;127.4328558;25;0.85;0;1;0;1.00E+15;186.0548084;1.279800085;2418.016963;186.0548084;0.00E+00;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;332.34;1.507631801;0.817498187;15;0.95;0;1;0;1.00E+15;1.038972644;0.007190518;10.07178477;1.038972644;0.00E+00;
Synthetic fuels;Synthetic fuels;Carbon capture from industry;INDUSTRY_CCS;2580;64.044;0;40;1;0;1;0;1.00E+15;0;0;0;0;0.00E+00;
Storage;Other storage;LFO storage;LFO_STORAGE;0.01;0.000397;0.016096424;20;1;0;1;0;1.00E+15;0.0228887;0.000421576;0.262148395;0.0228887;0.00E+00;
Synthetic fuels;Synthetic fuels;Methane to methanol;METHANE_TO_METHANOL;958.58;41.91520353;1663.290373;25;0.85;0;1;0;1.00E+15;45.23923713;0.899182205;7596.077401;45.23923713;0.00E+00;
Storage;Other storage;Methanol storage;METHANOL_STORAGE;0.01;0.000397;63.50901479;20;1;0;1;0;1.00E+15;70.36326536;0.491405865;224.4133984;70.36326536;0.00E+00;
Synthetic fuels;Synthetic fuels;Methanol to HVC;METHANOL_TO_HVC;697.2;62.748;704.8888435;20;1;0;1;0;1.00E+15;886.6430049;15.99195189;27045.89276;886.6430049;0.00E+00;
Electricity;Electricity;Nuclear;NUCLEAR;4845.73;102.930986;179.6121691;60;0.849;0;1;0;0;263.7024527;2.388702813;5287.756224;263.7024527;0.00E+00;
Synthetic fuels;Synthetic fuels;Oil to HVC;OIL_TO_HVC;395;2.1;704.8888435;15;1;0;1;0;1.00E+15;886.6430049;15.99195189;27045.89276;886.6430049;0.00E+00;
Storage;Electricity storage;Batteries of plug-in hybrid cars;PHEV_BATT;0;0;61.2246931;1;1;0;1;0;1.00E+15;87.9956363;1.359132451;840.5629833;87.9956363;0.00E+00;
Storage;Electricity storage;Pumped hydro storage;PHS;58.8;0;1.007443997;50;1;0;1;5;6.5;1.321609769;0.00570773;9.325039956;1.321609769;0.00E+00;
Electricity;Electricity;Photovoltaic;PV;870;9.935466867;420.720769;25;1;0;1;0;59.2;560.6901233;4.617763607;4651.192326;560.6901233;0.00E+00;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to LFO;PYROLYSIS_TO_FUELS;1365;38;912.6602142;25;0.85;0;1;0;1.00E+15;1151.851194;19.08338025;49610.37149;1151.851194;0.00E+00;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline and diesel;PYROLYSIS_TO_LFO;1344.22;61.09697026;949.7596518;25;0.85;0;1;0;1.00E+15;1198.516646;19.9250625;51033.84049;1198.516646;0.00E+00;
Synthetic fuels;Synthetic fuels;Steam methane reforming;SMR;681.24;62.8658412;367.6078095;25;0.86;0;1;0;1.00E+15;475.2095666;8.571125566;14495.65034;475.2095666;0.00E+00;
Synthetic fuels;Synthetic fuels;Hydrogen methanation;SYN_METHANATION;262.2;66.99276316;70.08096186;40;1;0;1;0;1.00E+15;89.98358561;0.787913526;10347.74037;89.98358561;0.00E+00;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation;SYN_METHANOLATION;1679.65;47.66486711;1798.196225;20;0.95;0;1;0;1.00E+15;2265.384831;39.25212952;83738.21857;2265.384831;0.00E+00;
Mobility;Freight;Train (freight);TRAIN_FREIGHT;104.42;2.088311688;0.001149399;40;0.34247;0;1;0;1.00E+15;0.001421262;9.35156E-06;0.010592294;0.001421262;0.00E+00;
Mobility;Passenger public;Train (passenger);TRAIN_PUB;1506.02;54.35274934;0.000485017;40;0.27507;0;0.5;0;1.00E+15;0.000564817;8.8555E-06;0.010425462;0.000564817;0.00E+00;
Mobility;Passenger public;Tram or metro;TRAMWAY_TROLLEY;625;12.5;0.00122012;30;0.34247;0;0.3;0;1.00E+15;0.001578542;3.01814E-05;0.015519922;0.001578542;0.00E+00;
Mobility;Freight;Trucks diesel;TRUCK_DIESEL;371.11;18.55555556;0.008779405;15;0.09259;0;1;0;1.00E+15;0.012823482;0.000141773;0.213702993;0.012823482;0.00E+00;
Mobility;Freight;Truck electric;TRUCK_ELEC;771.11;23.13333333;0.023773041;15;0.09259;0;1;0;1.00E+15;0.019431052;0.000210215;0.27664949;0.019431052;0.00E+00;
Mobility;Freight;Truck fuel cell (hydrogen);TRUCK_FUEL_CELL;402.22;12.06666667;0.01437232;15;0.09259;0;1;0;1.00E+15;0.019952529;0.00057624;0.291263102;0.019952529;0.00E+00;
Mobility;Freight;Truck methanol;TRUCK_METHANOL;371.11;18.55555556;0.009033231;15;0.09259;0;1;0;1.00E+15;0.012705971;0.000140544;0.212757474;0.012705971;0.00E+00;
Mobility;Freight;Truck gas;TRUCK_NG;371.11;18.55555556;0.009033231;15;0.09259;0;1;0;1.00E+15;0.012705971;0.000140544;0.212757474;0.012705971;0.00E+00;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;18.97;0.132802697;4.7112958;20;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;3;0.0086;4.7112958;40;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0.54;0.002958333;4.7112958;25;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;28.03;0.3;4.7112958;25;1;0;1;0;1.00E+15;6.203293747;0.037210078;135.2013417;6.203293747;0.00E+00;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4974.63;34.611;485.9936081;30;1;0;1;0;6;613.9135859;4.446508717;4269.976339;613.9135859;0.00E+00;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1040;12.096;310.4887968;30;1;0;1;0;10;404.9150172;2.815950523;9050.746178;404.9150172;0.00E+00;
Synthetic fuels;Synthetic fuels;Wood pyrolysis to gasoline only;ADLIBIO_TO_FUEL;994.5;15.028;949.7596518;25;1;0;1;0;1.00E+15;0;0;0;0;0.00E+00;
Synthetic fuels;Synthetic fuels;HVC;ADLIBIO_TO_HVC;765;11.56;949.7596518;25;0.85;0;1;0;1.00E+15;0;0;0;0;0.00E+00;
Synthetic fuels;Synthetic fuels;Wood pyrolisis for diesel alone;REDIFUEL;6057;6.28;949.7596518;25;0.85;0;1;0;1.00E+15;0;0;0;0;0.00E+00;
