,First-order Sobol indices,Total-order Sobol indices
einv_op-GAS,0.44998103070427264,0.44998103070427264
einv_constr-CAR_NG,0.29629408407845426,0.29629408407845426
einv_constr-TRUCK_FUEL_CELL,0.029489633689806068,0.029489633689806068
other-share_mobility_public_max,0.020799597231012296,0.020799597231012296
einv_op-GAS_RE,0.011037223314703264,0.011037223314703264
einv_constr-DHN_DEEP_GEO,0.008669286546260545,0.008669286546260545
einv_constr-TRUCK_NG,0.008528969491048997,0.008528969491048997
avail-WOOD,0.00795779475512642,0.00795779475512642
einv_constr-DEC_DIRECT_ELEC,0.007453239284045934,0.007453239284045934
einv_constr-DHN_COGEN_WOOD,0.007358234140089225,0.007358234140089225
einv_constr-DHN_BOILER_OIL,0.0070286442927264235,0.0070286442927264235
einv_constr-IND_BOILER_COAL,0.007000164259673813,0.007000164259673813
einv_op-METHANOL,0.006632542934333859,0.006632542934333859
einv_constr-AMMONIA_TO_H2,0.006478652298694194,0.006478652298694194
einv_constr-WIND_ONSHORE,0.006122742881458394,0.006122742881458394
einv_constr-PHS,0.0059366268085874856,0.0059366268085874856
f_max-WIND_OFFSHORE,0.005775774068957146,0.005775774068957146
einv_constr-CAR_HEV,0.005276527925001719,0.005276527925001719
einv_constr-BUS_COACH_DIESEL,0.00453416704184644,0.00453416704184644
einv_constr-METHANE_TO_METHANOL,0.0044756160846853195,0.0044756160846853195
einv_op-WOOD,0.004449800845790681,0.004449800845790681
einv_constr-HABER_BOSCH,0.004107085939706977,0.004107085939706977
einv_constr-CAR_BEV,0.003773322463837574,0.003773322463837574
c_pt-Wind_offshore,0.003405078605382011,0.003405078605382011
einv_op-WET_BIOMASS,0.003200223559150881,0.003200223559150881
einv_constr-CAR_PHEV,0.002959358133229226,0.002959358133229226
TRANSPORTATION-MOBILITY_PASSENGER,0.0029341418563922886,0.0029341418563922886
einv_constr-DEC_COGEN_GAS,0.0029097585976184982,0.0029097585976184982
SERVICES-LIGHTING,0.002795684096649588,0.002795684096649588
einv_constr-TRUCK_METHANOL,0.00268795504427062,0.00268795504427062
einv_constr-DEC_COGEN_OIL,0.002630106644411449,0.002630106644411449
einv_constr-GAS_TO_HVC,0.0024204815288744255,0.0024204815288744255
einv_constr-DEC_ADVCOGEN_H2,0.00239425156324053,0.00239425156324053
INDUSTRY-HEAT_HIGH_T,0.0023546309104874987,0.0023546309104874987
einv_constr-DEC_ADVCOGEN_GAS,0.0022964856973572874,0.0022964856973572874
einv_constr-OIL_TO_HVC,0.0022100162665119865,0.0022100162665119865
HOUSEHOLDS-HEAT_LOW_T_SH,0.002135449102073795,0.002135449102073795
einv_constr-DEC_BOILER_WOOD,0.0021352599453415898,0.0021352599453415898
f_max-PV,0.0018098033426907287,0.0018098033426907287
einv_constr-IND_COGEN_WOOD,0.0016285837432028884,0.0016285837432028884
einv_constr-NUCLEAR,0.001600639059584119,0.001600639059584119
einv_op-DIESEL,0.001548470821134862,0.001548470821134862
einv_constr-WIND_OFFSHORE,0.0015241073462882676,0.0015241073462882676
INDUSTRY-HEAT_LOW_T_HW,0.0013634722305669044,0.0013634722305669044
einv_constr-DEC_THHP_GAS,0.0013572020019791558,0.0013572020019791558
f_max-DHN_DEEP_GEO,0.0012976493690297392,0.0012976493690297392
einv_constr-IND_COGEN_GAS,0.0012208868642116007,0.0012208868642116007
f_max-WIND_ONSHORE,0.00105619706854587,0.00105619706854587
einv_op-BIOETHANOL,0.0010555513848048987,0.0010555513848048987
einv_constr-DEC_BOILER_OIL,0.0010031791404858492,0.0010031791404858492
einv_constr-BIOMASS_TO_HVC,0.0009767283373328232,0.0009767283373328232
c_pt-Hydro_river,0.0009669116479300297,0.0009669116479300297
einv_constr-TRAMWAY_TROLLEY,0.00094729063304214,0.00094729063304214
einv_constr-TRUCK_ELEC,0.0009361449552877885,0.0009361449552877885
c_pt-Wind_onshore,0.0009316274854829492,0.0009316274854829492
einv_constr-BOAT_FREIGHT_DIESEL,0.0009235936791673101,0.0009235936791673101
avail-WASTE,0.0009086722647313817,0.0009086722647313817
einv_constr-DEC_SOLAR,0.0008723852395693951,0.0008723852395693951
f_max-GEOTHERMAL,0.0008656549333995421,0.0008656549333995421
einv_constr-IND_BOILER_GAS,0.0008480370559015055,0.0008480370559015055
avail-WET_BIOMASS,0.0008106406258516914,0.0008106406258516914
einv_constr-DHN_COGEN_WET_BIOMASS,0.0008078736887009109,0.0008078736887009109
einv_constr-DHN_COGEN_GAS,0.0007521390289797152,0.0007521390289797152
einv_op-AMMONIA,0.0007520719318854802,0.0007520719318854802
einv_op-H2,0.0007350025648051803,0.0007350025648051803
einv_constr-BOAT_FREIGHT_METHANOL,0.0006818422564953699,0.0006818422564953699
einv_constr-CCGT,0.0006314047636549505,0.0006314047636549505
einv_constr-IND_BOILER_OIL,0.0006066400314680559,0.0006066400314680559
einv_constr-TRUCK_DIESEL,0.000589403215404642,0.000589403215404642
einv_constr-DEC_BOILER_GAS,0.0005035520806770028,0.0005035520806770028
other-share_freight_boat_max,0.0005034470074010523,0.0005034470074010523
other-import_capacity,0.000503401018710594,0.000503401018710594
HOUSEHOLDS-HEAT_LOW_T_HW,0.0004919910914575556,0.0004919910914575556
einv_constr-BOAT_FREIGHT_NG,0.00047954305050539487,0.00047954305050539487
c_pt-Solar,0.0004424551400845382,0.0004424551400845382
INDUSTRY-HEAT_LOW_T_SH,0.0004018816223075703,0.0004018816223075703
einv_constr-HYDRO_RIVER,0.00034725645265299066,0.00034725645265299066
HOUSEHOLDS-LIGHTING,0.0003034860964948043,0.0003034860964948043
other-ELECTRICITY,0.00029528024635928744,0.00029528024635928744
einv_constr-DEC_HP_ELEC,0.0002899560662320141,0.0002899560662320141
einv_constr-DHN_BOILER_WOOD,0.00027371859808115415,0.00027371859808115415
TRANSPORTATION-MOBILITY_FREIGHT,0.00026418228186233644,0.00026418228186233644
INDUSTRY-ELECTRICITY,0.0002398407281501135,0.0002398407281501135
einv_constr-DHN_SOLAR,0.00023945001863598516,0.00023945001863598516
einv_op-URANIUM,0.00022264579265457598,0.00022264579265457598
einv_op-LFO,0.0002192273368932376,0.0002192273368932376
einv_op-WASTE,0.0001886116901663143,0.0001886116901663143
einv_constr-CAR_METHANOL,0.00018443864883246097,0.00018443864883246097
einv_constr-METHANOL_TO_HVC,0.00017989380725773254,0.00017989380725773254
einv_constr-H2_BIOMASS,0.00016716338941691512,0.00016716338941691512
einv_constr-BUS_COACH_FC_HYBRIDH2,0.00016586842047792378,0.00016586842047792378
einv_op-ELECTRICITY,0.0001604655546374463,0.0001604655546374463
einv_constr-CAR_GASOLINE,0.00015900834151553287,0.00015900834151553287
einv_constr-IND_BOILER_WASTE,0.00015801107827473864,0.00015801107827473864
einv_constr-GASIFICATION_SNG,0.00013733557450988282,0.00013733557450988282
einv_op-METHANOL_RE,0.00012689729062658356,0.00012689729062658356
f_max-NUCLEAR,0.00011968351779168073,0.00011968351779168073
einv_constr-DHN_COGEN_WASTE,0.00011373316952741999,0.00011373316952741999
other-i_rate,0.00010608865933142585,0.00010608865933142585
einv_constr-CAR_FUEL_CELL,0.00010422755613840223,0.00010422755613840223
