,Electricity (%_elec),Space Heating (%_sh),Passanger mobility (%_pass),Freight mobility (%_freight),PV,Wind_onshore,Wind_offshore,Hydro_river,Solar
160,0.000179,0.000181,0.000223,0.000114,0.0811,0.249,0.881,0.356,0.401
161,0.000184,0.000189,0.000223,0.000114,0.014,0.285,0.901,0.356,0.0
162,0.000217,0.000194,0.000164,0.000114,0.0,0.357,0.907,0.356,0.0
163,0.000223,0.000199,0.000117,0.000114,0.0,0.419,0.919,0.356,0.0
164,0.000202,0.000203,8.81e-05,0.000114,0.0,0.479,0.92,0.356,0.0
165,0.000178,0.000208,5.87e-05,0.000114,0.0,0.452,0.925,0.356,0.0
166,0.000158,0.000213,3.76e-05,0.000114,0.0,0.505,0.924,0.356,0.0
167,0.00016,0.000216,2.35e-05,0.000114,0.0,0.554,0.926,0.356,0.0
168,0.000153,0.000221,9.4e-06,0.000114,0.0,0.636,0.927,0.356,0.0
169,0.000126,0.000228,5.87e-06,0.000114,0.0,0.673,0.931,0.356,0.0
170,0.000102,0.000236,2.35e-06,0.000114,0.0,0.668,0.926,0.356,0.0
171,8.31e-05,0.000244,1.17e-06,0.000114,0.0,0.708,0.924,0.356,0.0
172,7.84e-05,0.000249,1.41e-05,0.000114,0.0,0.705,0.925,0.356,0.0
173,8.78e-05,0.000254,3.76e-05,0.000114,0.0,0.671,0.915,0.356,0.0
174,0.000107,0.000258,9.4e-05,0.000114,0.0,0.643,0.923,0.356,0.0
175,0.000148,0.000261,0.000182,0.000114,0.0,0.664,0.924,0.356,0.0
176,0.000187,0.000264,0.000159,0.000114,0.0,0.671,0.911,0.356,0.0
177,0.0002,0.000264,0.000147,0.000114,0.0,0.682,0.884,0.356,0.0
178,0.000198,0.000263,0.000164,0.000114,0.00132,0.701,0.884,0.356,0.0
179,0.000194,0.000261,0.000188,0.000114,0.00842,0.749,0.88,0.356,0.0
180,0.000193,0.000258,0.000207,0.000114,0.0105,0.78,0.445,0.356,0.0
181,0.000188,0.000258,0.000188,0.000114,0.012,0.779,0.121,0.356,0.0
182,0.000189,0.000246,0.00019,0.000114,0.0132,0.792,0.492,0.356,0.0178
183,0.000184,0.000249,0.000214,0.000114,0.00647,0.797,0.464,0.356,0.00431
184,0.000186,0.000246,0.000223,0.000114,0.00678,0.756,0.258,0.356,0.0139
185,0.000184,0.000249,0.000223,0.000114,0.00908,0.634,0.513,0.356,0.0
186,0.000215,0.000256,0.000164,0.000114,0.0,0.458,0.485,0.356,0.0
187,0.000221,0.000263,0.000117,0.000114,0.0,0.456,0.753,0.356,0.0
188,0.0002,0.000268,8.81e-05,0.000114,0.0,0.459,0.884,0.356,0.0
