Category,Subcategory,Technologies name,parameter name,c_inv,c_maint,gwp_constr,einv_constr,lifetime,c_p,fmin_perc,fmax_perc,f_min,f_max
,,Name (simplified),Name (in model and documents),"[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[ktonCO2_eq/GW],[ktonCO2_eq/GWh],[ktonCO2_eq/(Mkmpass/h)],[ktonCO2_eq/(Mtonkm/h)]",[GWh/y],[years],[],[],[],[GW],[GW]
Mobility,Passenger private,Car methanol,CAR_METHANOL,420.2863578,24.0,179.8765183,677.1332485,10,0.051369863,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car gas,CAR_NG,429.3758044,24.0,179.8765183,677.1332485,10,0.051369863,0,1.0,0,1000000000000000.0
Mobility,Passenger private,Car plug-in hybrid,CAR_PHEV,456.3670814,34.0,229.0704165,867.7638512,10,0.051369863,0,1.0,0,1000000000000000.0
Electricity,Electricity,Combined cycle gas turbine,CCGT,771.9917595,19.55202588,157.2231375,615.1215069,25,0.961538462,0,1.0,0,1000000000000000.0
Electricity,Electricity,Amonia combined cycle gas turbine,CCGT_AMMONIA,771.9917595,19.55202588,157.2231375,615.1215069,25,0.961538462,0,1.0,0,1000000000000000.0
Storage,Other storage,CO2 storage,CO2_STORAGE,49.5,0.495,0.014108524,0.065906506,30,1.0,0,1.0,0,1000000000000000.0
Electricity,Electricity,Intagrated gasification combined cycle with coal,COAL_IGCC,3245.809533,48.42022379,280.07642,913.8891667,35,0.856,0,1.0,0,0.0
Electricity,Electricity,Ultra-supercritical coal power plant,COAL_US,2516.705684,29.38376695,280.07642,913.8891667,35,0.868,0,1.0,0,0.0
Heat,Heat low temperature decentralised,Advanced cogeneration (Fuel cell) gas (decentralised),DEC_ADVCOGEN_GAS,7242.27924,134.9692259,210.6564497,4413.061677,20,1.0,0,1.0,0,1000000000000000.0
Heat,Heat low temperature decentralised,Advanced cogeneration (Fuel cell) gas (decentralised),DEC_ADVCOGEN_H2,7242.27924,134.9692259,210.6564497,4413.061677,20,1.0,0,1.0,0,1000000000000000.0
