,First-order Sobol indices,Total-order Sobol indices
einv_constr-CAR_BEV,0.15806135197563145,0.1796627741609178
f_max-NUCLEAR,0.09612654402567516,0.12454374932859617
other-share_mobility_public_max,0.06372372653883673,0.07743734742558309
einv_constr-PV,0.031109115733888432,0.05009514489668023
einv_op-GAS,0.01979017140300499,0.04955941267174942
avail-WOOD,0.0185849506746649,0.042090173972528074
einv_constr-CAR_NG,0.008103498748024466,0.03622768946104172
c_pt-PV,0.007430319801831392,0.029593863982122375
INDUSTRY-NON_ENERGY,0.010027202700001604,0.029002440394799926
einv_op-URANIUM,0.00904634016837096,0.028919994691186647
avail-WET_BIOMASS,0.015195066815523614,0.028858605538585616
f_max-DHN_DEEP_GEO,0.01267992280456671,0.028771862730359938
einv_op-WET_BIOMASS,0.00794654305467109,0.02859299035763643
einv_op-GAS_RE,0.0070464554807683575,0.028187467547759425
c_pt-Wind_offshore,0.005623647161603992,0.024872483788258563
f_max-WIND_OFFSHORE,0.010456110156719052,0.024782960997534565
einv_op-METHANOL,0.014590573799774034,0.024700687928728305
f_max-WIND_ONSHORE,0.007903449569009548,0.0246221069884887
TRANSPORTATION-MOBILITY_PASSENGER,0.010758432931392298,0.023624350332460443
einv_constr-H2_ELECTROLYSIS,0.0016220063413647664,0.02351608844499578
other-share_freight_train_max,0.0005348905124340064,0.021618342397479836
c_pt-Wind_onshore,0.009539911643851073,0.020757805659043067
other-share_freight_boat_max,0.000898354689356203,0.02067590718683673
einv_constr-IND_BOILER_WASTE,0.0002587870211973825,0.019884699950973278
einv_constr-DHN_COGEN_WASTE,6.975300712245091e-05,0.018803267965431247
einv_op-WOOD,0.0023851695577855295,0.018494284297634493
einv_constr-CCGT_AMMONIA,5.1793440049908605e-05,0.01822669981429702
einv_op-AMMONIA,0.000331592084975325,0.01766507679929751
einv_constr-IND_COGEN_WOOD,0.00035906413435657017,0.016959682359542004
einv_op-BIODIESEL,0.0004355262909710744,0.016772047153680913
einv_constr-PYROLYSIS_TO_LFO,0.0001279352148433225,0.016570886147694298
einv_constr-IND_BOILER_COAL,0.00014085908485356082,0.01635545428946812
einv_constr-METHANE_TO_METHANOL,0.0017615549328591053,0.01621933605205208
einv_op-ELECTRICITY,0.005102665435766535,0.01619990187570376
einv_op-LFO,0.0002606309596254417,0.016164711625149257
einv_constr-CAR_FUEL_CELL,6.596340800678544e-05,0.015847171194570183
einv_constr-WIND_ONSHORE,0.001081435195502083,0.015805264113294488
einv_constr-TRUCK_NG,8.071435976971025e-05,0.01571997386938389
INDUSTRY-ELECTRICITY,0.002172358342744559,0.015279703817945214
SERVICES-LIGHTING,0.0003026458910236442,0.01510364244182097
TRANSPORTATION-MOBILITY_FREIGHT,0.0013309256956102553,0.014847578852848854
einv_constr-CAR_HEV,0.00037281624077828727,0.014602763615331167
einv_constr-TRUCK_ELEC,0.0036376002074796875,0.014339157682061739
einv_constr-DHN_DEEP_GEO,0.0008686861237568407,0.013844001389923009
INDUSTRY-HEAT_LOW_T_HW,0.0006244144387257413,0.013254175259264077
einv_constr-DEC_ADVCOGEN_GAS,0.0003014172839186154,0.013080951246438903
einv_constr-IND_BOILER_OIL,0.00031854911916022466,0.013043527769591091
einv_constr-DHN_COGEN_GAS,4.099201958335195e-05,0.012980380263237841
einv_constr-DHN_COGEN_WOOD,0.0008176585162926408,0.01262980890687955
einv_constr-TRUCK_FUEL_CELL,7.197155218079639e-05,0.01249422824315815
einv_constr-DEC_BOILER_OIL,0.00026209524611708163,0.012268233732813926
einv_constr-GAS_TO_HVC,0.00013651320784841955,0.012225463002086136
einv_op-H2,0.0003781698564806534,0.01176025504074549
einv_constr-DEC_BOILER_WOOD,8.577973611824987e-05,0.011286685147853422
HOUSEHOLDS-HEAT_LOW_T_HW,0.00024158952560374014,0.009280521334386888
